Moves
6245
1221
2131
1209
111
6254
1102
614
2230
553
1523
1221
621
5245
800
436
5844
3829
3003
4259
621
6245
335
2902
621
621
4436
2636
1430
1228
229
2131
2625
5245
1405
6253
2223
1430
2023
514
5236
220
4832
1803
2837
220
5742
2921
111
203
5938
6146
111
4033
220
5844
3139
118
5837
5
2526
5960
714
1835
504
3645
3020
229
514
5141
5844
3326
507
5034
6143
5742
1430
3945
1430
1810
503
6059
1314
5519
413
6159
6062
1928
2128
359
5244
1220
1
5244
3747
6143
118
3044
4351
2
2822
2016
6044
3427
5927
4840
816
3319
3644
2136
3630
5345
4335
514
2627
4746
3424
5143
5135
3044
105
1910
5751
512
6253
205
3342
118
4057
6245
4337
2127
5345
3960
5830
2440
3643
2837
816
6153
133
3528
607
1523
1018
2745
311
902
533
3846
1026
502
6245
2618
918
3410
2120
2027
1220
406
1126
1127
5259
4360
4536
2432
2931
16
3325
519
406
3
917
5344
2619
3039
4738
406
1833
5562
2618
1321
1026
1322
2658
1935
3829
1827
2726
3828
1015
3039
3348
5951
111
118
519
1128
949
1026
5547
5042
4654
2837
918
3654
2029
3122
2634
621
118
1222
3629
335
5461
3528
311
526
3045
229
1749
533
4638
5742
3420
6354
406
1422
4552
5246
3618
6255
2138
406
5446
4235
1833
5345
2534
406
5950
2936
1320
3628
3012
927
211
1132
6323
4243
5261
2
4941
5034
1523
706
2
4652
4232
5751
4653
2937
2736
3727
1702
5034
3728
1
3552
5042
621
5830
6062
6062
817
1845
5852
1306
4226
5042
3845
1221
4335
2231
1422
2836
3426
2138
5337
2129
311
3029
3559
1228
5236
3439
2403
3829
1026
2230
1321
6245
2928
5160
5539
6245
621
2120
3520
1912
2127
5751
6361
2028
2719
5446
2920
6245
3627
4852
311
4435
209
5051
5849
2820
118
3542
6158
6245
6160
1120
6245
933
1228
504
1827
613
5135
4241
2213
4536
3
2451
4528
5244
1415
6154
6062
1430
4622
4436
1220
2827
4536
6254
6152
2448
5259
6143
311
5150
3039
4340
1026
1523
2744
3224
2735
5844
4436
5042
1910
1523
3
5053
553
5034
2532
3443
5231
2754
1523
3730
4535
2027
1725
5911
6158
6245
5042
118
2921
5751
3037
1725
3224
3324
125
1228
211
4033
925
4
1228
406
4436
3922
1825
1608
1211
1901
6
5844
6062
3847
3837
512
5134
412
5253
1406
3527
1624
209
3921
1239
4235
6059
5461
1147
2938
5145
1127
2123
1422
2911
1608
412
4228
4850
2034
6254
4435
4654
133
2542
4225
1018
4142
1147
621
5337
927
621
2127
5660
1101
5945
3442
6062
2735
3728
3946
2528
1128
3029
2127
704
3551
1127
1119
4754
2535
5034
6255
1329
3729
6159
6152
2250
3342
526
5463
1329
4840
1329
311
3427
4639
1531
2735
5547
2717
816
412
526
2733
3821
